Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
Karasjok - Markannjarga,SN97251,10.07.2005,19.2
Karasjok - Markannjarga,SN97251,11.07.2005,14.1
Karasjok - Markannjarga,SN97251,12.07.2005,17.6
Karasjok - Markannjarga,SN97251,13.07.2005,13.1
Karasjok - Markannjarga,SN97251,14.07.2005,12.9
Karasjok - Markannjarga,SN97251,15.07.2005,13.6
Karasjok - Markannjarga,SN97251,16.07.2005,14.6
Karasjok - Markannjarga,SN97251,17.07.2005,15
Karasjok - Markannjarga,SN97251,18.07.2005,16.1
Karasjok - Markannjarga,SN97251,19.07.2005,19.7
Karasjok - Markannjarga,SN97251,20.07.2005,10.1
Karasjok - Markannjarga,SN97251,21.07.2005,8.8
Karasjok - Markannjarga,SN97251,22.07.2005,12.7
Karasjok - Markannjarga,SN97251,23.07.2005,9.8
Karasjok - Markannjarga,SN97251,24.07.2005,10.9
Karasjok - Markannjarga,SN97251,25.07.2005,14.3
Karasjok - Markannjarga,SN97251,26.07.2005,18.2
Karasjok - Markannjarga,SN97251,27.07.2005,16.9
Karasjok - Markannjarga,SN97251,28.07.2005,10.7
Karasjok - Markannjarga,SN97251,29.07.2005,6.8
Karasjok - Markannjarga,SN97251,30.07.2005,8.9
Karasjok - Markannjarga,SN97251,31.07.2005,8.4
Karasjok - Markannjarga,SN97251,01.08.2005,8.4
Karasjok - Markannjarga,SN97251,02.08.2005,8.2
Karasjok - Markannjarga,SN97251,03.08.2005,10.1
Karasjok - Markannjarga,SN97251,04.08.2005,14
Karasjok - Markannjarga,SN97251,05.08.2005,11.8
Karasjok - Markannjarga,SN97251,06.08.2005,9
Karasjok - Markannjarga,SN97251,07.08.2005,10.7
Karasjok - Markannjarga,SN97251,08.08.2005,10.3
Karasjok - Markannjarga,SN97251,09.08.2005,13.9
Karasjok - Markannjarga,SN97251,10.08.2005,15.7
Karasjok - Markannjarga,SN97251,11.08.2005,13.8
Karasjok - Markannjarga,SN97251,12.08.2005,13.6
Karasjok - Markannjarga,SN97251,13.08.2005,15.1
Karasjok - Markannjarga,SN97251,14.08.2005,12.2
Karasjok - Markannjarga,SN97251,15.08.2005,10.9
Karasjok - Markannjarga,SN97251,16.08.2005,9.8
Karasjok - Markannjarga,SN97251,17.08.2005,9.8
Karasjok - Markannjarga,SN97251,18.08.2005,11.1
Karasjok - Markannjarga,SN97251,19.08.2005,14
Karasjok - Markannjarga,SN97251,20.08.2005,12.3
Karasjok - Markannjarga,SN97251,21.08.2005,11.1
Karasjok - Markannjarga,SN97251,22.08.2005,13.8
Karasjok - Markannjarga,SN97251,23.08.2005,13.2
Karasjok - Markannjarga,SN97251,24.08.2005,14.1
Karasjok - Markannjarga,SN97251,25.08.2005,16.4
Karasjok - Markannjarga,SN97251,26.08.2005,18.4
Karasjok - Markannjarga,SN97251,27.08.2005,13.4
Karasjok - Markannjarga,SN97251,28.08.2005,11
Karasjok - Markannjarga,SN97251,29.08.2005,9.7
Karasjok - Markannjarga,SN97251,30.08.2005,12.3
Karasjok - Markannjarga,SN97251,31.08.2005,8.8
Karasjok - Markannjarga,SN97251,01.09.2005,11.9
Karasjok - Markannjarga,SN97251,02.09.2005,12.6
Karasjok - Markannjarga,SN97251,03.09.2005,7.5
Karasjok - Markannjarga,SN97251,04.09.2005,6.9
Karasjok - Markannjarga,SN97251,05.09.2005,7.6
Karasjok - Markannjarga,SN97251,06.09.2005,4.3
Karasjok - Markannjarga,SN97251,07.09.2005,2.1
Karasjok - Markannjarga,SN97251,08.09.2005,3.1
Karasjok - Markannjarga,SN97251,09.09.2005,4.1
Karasjok - Markannjarga,SN97251,10.09.2005,3.6
Karasjok - Markannjarga,SN97251,11.09.2005,4
Karasjok - Markannjarga,SN97251,12.09.2005,6.2
Karasjok - Markannjarga,SN97251,13.09.2005,3.2
Karasjok - Markannjarga,SN97251,14.09.2005,1.6
Karasjok - Markannjarga,SN97251,15.09.2005,0.6
Karasjok - Markannjarga,SN97251,16.09.2005,-1.6
Karasjok - Markannjarga,SN97251,17.09.2005,0.5
Karasjok - Markannjarga,SN97251,18.09.2005,2.4
Karasjok - Markannjarga,SN97251,19.09.2005,5.3
Karasjok - Markannjarga,SN97251,20.09.2005,8.8
Karasjok - Markannjarga,SN97251,21.09.2005,2.9
Karasjok - Markannjarga,SN97251,22.09.2005,1.7
Karasjok - Markannjarga,SN97251,23.09.2005,5.1
Karasjok - Markannjarga,SN97251,24.09.2005,8.2
Karasjok - Markannjarga,SN97251,25.09.2005,5.2
